# this bed file is the NZ_CP026362.1, entries without unique locus_tag were fixed
# seqName	start	ende	direction	type1	type2	Name	locus_tag	product
NZ_CP026362.1	42212	42949	+	CDS	gene	BV11031_RS00225	BV11031_RS00225	ABC transporter permease
NZ_CP026362.1	42953	44068	+	CDS	gene	BV11031_RS00230	BV11031_RS00230	sensor histidine kinase
NZ_CP026362.1	44085	44687	+	CDS	gene	BV11031_RS00235	BV11031_RS00235	response regulator transcription factor
NZ_CP026362.1	44875	45591	+	CDS	gene	lutA	BV11031_RS00240	lactate utilization iron-sulfur protein LutA
NZ_CP026362.1	45617	47059	+	CDS	gene	lutB	BV11031_RS00245	lactate utilization iron-sulfur protein LutB
NZ_CP026362.1	47056	47778	+	CDS	gene	BV11031_RS00250	BV11031_RS00250	lactate utilization protein C
NZ_CP026362.1	47883	48917	+	CDS	gene	BV11031_RS00255	BV11031_RS00255	glycoside hydrolase family 18 protein
NZ_CP026362.1	49319	50662	+	CDS	gene	BV11031_RS00260	BV11031_RS00260	amino acid permease
NZ_CP026362.1	51113	52123	+	CDS	gene	BV11031_RS00270	BV11031_RS00270	LLM class flavin-dependent oxidoreductase
NZ_CP026362.1	52173	53261	-	CDS	gene	araR	BV11031_RS00275	arabinose utilization transcriptional regulator AraR
NZ_CP026362.1	53467	54861	+	CDS	gene	araE	BV11031_RS00280	arabinose-proton symporter AraE
NZ_CP026362.1	55159	56181	+	CDS	gene	cggR	BV11031_RS00285	gapA transcriptional regulator CggR
NZ_CP026362.1	56228	57235	+	CDS	gene	gap	BV11031_RS00290	type I glyceraldehyde-3-phosphate dehydrogenase
NZ_CP026362.1	57555	58739	+	CDS	gene	BV11031_RS00295	BV11031_RS00295	phosphoglycerate kinase
NZ_CP026362.1	58770	59531	+	CDS	gene	BV11031_RS00300	BV11031_RS00300	triose-phosphate isomerase
NZ_CP026362.1	59524	61059	+	CDS	gene	gpmI	BV11031_RS00305	2%2C3-bisphosphoglycerate-independent phosphoglycerate mutase
NZ_CP026362.1	61088	62380	+	CDS	gene	eno	BV11031_RS00310	phosphopyruvate hydratase
NZ_CP026362.1	62423	62884	-	CDS	gene	BV11031_RS00315	BV11031_RS00315	GNAT family N-acetyltransferase
NZ_CP026362.1	63017	64831	+	CDS	gene	BV11031_RS00320	BV11031_RS00320	zinc ribbon domain-containing protein
NZ_CP026362.1	64869	65567	-	CDS	gene	BV11031_RS00325	BV11031_RS00325	zinc ribbon domain-containing protein
NZ_CP026362.1	65711	66325	-	CDS	gene	BV11031_RS00330	BV11031_RS00330	PH domain-containing protein
NZ_CP026362.1	66508	67059	-	CDS	gene	BV11031_RS00335	BV11031_RS00335	GbsR/MarR family transcriptional regulator
NZ_CP026362.1	67323	68462	+	CDS	gene	BV11031_RS00340	BV11031_RS00340	osmoprotectant ABC transporter ATP-binding protein OpuCA
NZ_CP026362.1	68485	69138	+	CDS	gene	opuCB	BV11031_RS00345	glycine betaine/carnitine/choline/choline sulfate ABC transporter permease OpuCB
NZ_CP026362.1	69152	70069	+	CDS	gene	BV11031_RS00350	BV11031_RS00350	osmoprotectant ABC transporter substrate-binding lipoprotein OpuCC
NZ_CP026362.1	70087	70761	+	CDS	gene	opuCD	BV11031_RS00355	glycine betaine/carnitine/choline/choline sulfate ABC transporter permease OpuCD
NZ_CP026362.1	70793	71326	-	CDS	gene	BV11031_RS00360	BV11031_RS00360	GbsR/MarR family transcriptional regulator
NZ_CP026362.1	71611	72756	+	CDS	gene	BV11031_RS00365	BV11031_RS00365	choline ABC transporter ATP-binding protein OpuBA
NZ_CP026362.1	72771	73424	+	CDS	gene	opuBB	BV11031_RS00370	choline ABC transporter permease OpuBB
NZ_CP026362.1	73436	74356	+	CDS	gene	BV11031_RS00375	BV11031_RS00375	choline ABC transporter substrate-binding lipoprotein OpuBC
NZ_CP026362.1	74373	75044	+	CDS	gene	BV11031_RS00380	BV11031_RS00380	ABC transporter permease
NZ_CP026362.1	75267	78359	+	CDS	gene	BV11031_RS00385	BV11031_RS00385	lantibiotic dehydratase
NZ_CP026362.1	78350	80194	+	CDS	gene	BV11031_RS00390	BV11031_RS00390	ABC transporter ATP-binding protein
NZ_CP026362.1	80167	81495	+	CDS	gene	BV11031_RS00395	BV11031_RS00395	lanthionine synthetase C family protein
NZ_CP026362.1	81569	81739	+	CDS	gene	BV11031_RS00400	BV11031_RS00400	gallidermin/nisin family lantibiotic
NZ_CP026362.1	82217	82711	+	CDS	gene	BV11031_RS00405	BV11031_RS00405	NisI/SpaI family lantibiotic immunity lipoprotein
NZ_CP026362.1	82725	83441	+	CDS	gene	BV11031_RS00410	BV11031_RS00410	lantibiotic protection ABC transporter ATP-binding protein
NZ_CP026362.1	83438	84193	+	CDS	gene	BV11031_RS00415	BV11031_RS00415	lantibiotic immunity ABC transporter MutE/EpiE family permease subunit
NZ_CP026362.1	84195	84965	+	CDS	gene	BV11031_RS00420	BV11031_RS00420	lantibiotic immunity ABC transporter MutG family permease subunit
NZ_CP026362.1	84983	85645	+	CDS	gene	BV11031_RS00425	BV11031_RS00425	response regulator transcription factor
NZ_CP026362.1	85636	87015	+	CDS	gene	BV11031_RS00430	BV11031_RS00430	HAMP domain-containing histidine kinase
NZ_CP026362.1	87046	88752	-	CDS	gene	BV11031_RS00435	BV11031_RS00435	methyl-accepting chemotaxis protein
NZ_CP026362.1	88881	89204	-	CDS	gene	catR	BV11031_RS00440	catDE operon transcriptional regulator CatR
NZ_CP026362.1	89298	89717	-	CDS	gene	BV11031_RS00445	BV11031_RS00445	helix-turn-helix domain-containing protein
NZ_CP026362.1	89744	90148	-	CDS	gene	rghR	BV11031_RS00450	transcriptional repressor RghR
NZ_CP026362.1	90300	90533	+	CDS	gene	BV11031_RS00455	BV11031_RS00455	helix-turn-helix transcriptional regulator
NZ_CP026362.1	90575	91345	-	CDS	gene	BV11031_RS00460	BV11031_RS00460	alpha/beta hydrolase
NZ_CP026362.1	91495	91725	+	CDS	gene	secG	BV11031_RS00465	preprotein translocase subunit SecG
NZ_CP026362.1	91855	92595	+	CDS	gene	BV11031_RS00470	BV11031_RS00470	alpha/beta hydrolase
NZ_CP026362.1	92614	94953	+	CDS	gene	rnr	BV11031_RS00475	ribonuclease R
NZ_CP026362.1	95098	95568	+	CDS	gene	smpB	BV11031_RS00480	SsrA-binding protein
NZ_CP026362.1	95745	96107	+	exon	tmRNA	ssrA	BV11031_RS00485	transfer-messenger RNA
NZ_CP026362.1	96301	97004	+	CDS	pseudogene	BV11031_RS00490	BV11031_RS00490	LysM peptidoglycan-binding domain-containing protein
NZ_CP026362.1	97048	97338	-	CDS	gene	BV11031_RS00495	BV11031_RS00495	hypothetical protein
NZ_CP026362.1	97642	98994	+	CDS	gene	BV11031_RS00500	BV11031_RS00500	IS1182 family transposase
NZ_CP026362.1	99129	99417	-	CDS	pseudogene	BV11031_RS00505	BV11031_RS00505	hypothetical protein
NZ_CP026362.1	99421	99711	-	CDS	gene	BV11031_RS00510	BV11031_RS00510	hypothetical protein
NZ_CP026362.1	99730	101610	-	CDS	gene	BV11031_RS00515	BV11031_RS00515	ribonuclease YeeF family protein
NZ_CP026362.1	101873	102088	+	CDS	pseudogene	BV11031_RS00525	BV11031_RS00525	SDR family oxidoreductase
NZ_CP026362.1	102193	103140	+	CDS	gene	BV11031_RS00530	BV11031_RS00530	EamA family transporter
NZ_CP026362.1	103145	103801	+	CDS	gene	BV11031_RS00535	BV11031_RS00535	GntR family transcriptional regulator
NZ_CP026362.1	103907	105805	+	CDS	gene	BV11031_RS00540	BV11031_RS00540	FUSC family protein
NZ_CP026362.1	105964	106599	+	CDS	gene	BV11031_RS00545	BV11031_RS00545	FMN-dependent NADH-azoreductase
NZ_CP026362.1	106639	107715	-	CDS	gene	BV11031_RS00550	BV11031_RS00550	oxidoreductase
NZ_CP026362.1	107843	108148	+	CDS	gene	csoR	BV11031_RS00555	copper-sensing transcriptional repressor CsoR
NZ_CP026362.1	108223	108432	+	CDS	gene	copZ	BV11031_RS00560	copper chaperone CopZ
NZ_CP026362.1	108516	110927	+	CDS	gene	BV11031_RS00565	BV11031_RS00565	copper-translocating P-type ATPase
NZ_CP026362.1	111084	113192	+	CDS	gene	cadA	BV11031_RS00570	cadmium-translocating P-type ATPase
NZ_CP026362.1	113314	113982	+	CDS	gene	BV11031_RS00575	BV11031_RS00575	DsbA family protein
NZ_CP026362.1	113987	114403	+	CDS	gene	BV11031_RS00580	BV11031_RS00580	disulfide bond formation protein B
NZ_CP026362.1	114586	115194	+	CDS	gene	BV11031_RS00585	BV11031_RS00585	trimeric intracellular cation channel family protein
NZ_CP026362.1	115382	117706	+	CDS	gene	BV11031_RS00590	BV11031_RS00590	UvrD-helicase domain-containing protein
NZ_CP026362.1	118019	119839	+	CDS	gene	BV11031_RS00595	BV11031_RS00595	assimilatory sulfite reductase (NADPH) flavoprotein subunit
NZ_CP026362.1	119866	121581	+	CDS	gene	cysI	BV11031_RS00600	assimilatory sulfite reductase (NADPH) hemoprotein subunit
NZ_CP026362.1	121830	123845	+	CDS	gene	BV11031_RS00605	BV11031_RS00605	Na+/H+ antiporter
NZ_CP026362.1	123890	124367	-	CDS	pseudogene	BV11031_RS00610	BV11031_RS00610	stress protein
NZ_CP026362.1	124563	125393	+	CDS	gene	pgoN	BV11031_RS00615	glyoxal/methylglyoxal reductase
NZ_CP026362.1	125422	126114	-	CDS	gene	modB	BV11031_RS00620	molybdate ABC transporter permease subunit
NZ_CP026362.1	126086	126868	-	CDS	gene	modA	BV11031_RS00625	molybdate ABC transporter substrate-binding protein
NZ_CP026362.1	126979	127905	+	CDS	gene	BV11031_RS00630	BV11031_RS00630	excisionase family DNA-binding protein
NZ_CP026362.1	127933	129786	-	CDS	gene	BV11031_RS00635	BV11031_RS00635	LTA synthase family protein
NZ_CP026362.1	129886	130368	-	CDS	gene	BV11031_RS00640	BV11031_RS00640	metal-dependent hydrolase
NZ_CP026362.1	130534	130674	+	CDS	gene	sspJ	BV11031_RS00645	SspJ family small acid-soluble spore protein
NZ_CP026362.1	131075	132475	+	CDS	gene	BV11031_RS00655	BV11031_RS00655	amino acid permease
NZ_CP026362.1	132514	132783	-	CDS	gene	BV11031_RS00660	BV11031_RS00660	hypothetical protein
NZ_CP026362.1	132839	133786	-	CDS	gene	BV11031_RS00665	BV11031_RS00665	iron-hydroxamate ABC transporter substrate-binding protein
NZ_CP026362.1	133992	135038	+	CDS	gene	BV11031_RS00670	BV11031_RS00670	iron ABC transporter permease
NZ_CP026362.1	135038	136048	+	CDS	gene	BV11031_RS00675	BV11031_RS00675	iron ABC transporter permease
NZ_CP026362.1	136064	136873	+	CDS	gene	BV11031_RS00680	BV11031_RS00680	ABC transporter ATP-binding protein
NZ_CP026362.1	137045	138235	+	CDS	gene	BV11031_RS00685	BV11031_RS00685	efflux RND transporter periplasmic adaptor subunit
NZ_CP026362.1	138219	138908	+	CDS	gene	BV11031_RS00690	BV11031_RS00690	ABC transporter ATP-binding protein
NZ_CP026362.1	138901	140130	+	CDS	gene	BV11031_RS00695	BV11031_RS00695	ABC transporter permease
NZ_CP026362.1	140164	140574	-	CDS	gene	BV11031_RS00700	BV11031_RS00700	regulatory YrvL family protein
NZ_CP026362.1	140635	141792	-	CDS	gene	oxdC	BV11031_RS00705	oxalate decarboxylase
NZ_CP026362.1	141911	142066	-	CDS	gene	BV11031_RS00710	BV11031_RS00710	YvrJ family protein
NZ_CP026362.1	142268	142804	+	CDS	gene	sigO	BV11031_RS00715	RNA polymerase sigma factor SigO
NZ_CP026362.1	142801	143037	+	CDS	gene	BV11031_RS00720	BV11031_RS00720	helix-turn-helix domain-containing protein
NZ_CP026362.1	143191	143904	+	CDS	gene	yvrH	BV11031_RS00725	two-component system response regulator YvrH
NZ_CP026362.1	143901	145643	+	CDS	gene	BV11031_RS00730	BV11031_RS00730	HAMP domain-containing histidine kinase
NZ_CP026362.1	145712	146590	+	CDS	gene	BV11031_RS00735	BV11031_RS00735	SMP-30/gluconolactonase/LRE family protein
NZ_CP026362.1	146642	147990	-	CDS	gene	BV11031_RS00740	BV11031_RS00740	IS3 family transposase
NZ_CP026362.1	148069	148860	-	CDS	gene	BV11031_RS00745	BV11031_RS00745	SDR family oxidoreductase
NZ_CP026362.1	149260	150204	+	CDS	gene	BV11031_RS00750	BV11031_RS00750	ABC transporter substrate-binding protein
NZ_CP026362.1	150167	151228	+	CDS	gene	BV11031_RS00755	BV11031_RS00755	iron ABC transporter permease
NZ_CP026362.1	151228	152556	+	CDS	gene	BV11031_RS00760	BV11031_RS00760	ATP-binding cassette domain-containing protein
NZ_CP026362.1	152578	153159	+	CDS	gene	BV11031_RS00765	BV11031_RS00765	cob(I)yrinic acid a%2Cc-diamide adenosyltransferase
NZ_CP026362.1	153328	154596	+	CDS	gene	BV11031_RS00770	BV11031_RS00770	MFS transporter
NZ_CP026362.1	154769	155149	+	CDS	gene	BV11031_RS00775	BV11031_RS00775	hypothetical protein
NZ_CP026362.1	155176	155856	+	CDS	gene	BV11031_RS00780	BV11031_RS00780	PspA/IM30 family protein
NZ_CP026362.1	155957	156829	+	CDS	gene	BV11031_RS00785	BV11031_RS00785	DUF4097 domain-containing protein
NZ_CP026362.1	156863	157588	+	CDS	gene	liaF	BV11031_RS00790	LiaRS two-component regulatory system accessory protein LiaF
NZ_CP026362.1	157585	158667	+	CDS	gene	liaS	BV11031_RS00795	two-component system sensor histidine kinase LiaS
NZ_CP026362.1	158645	159280	+	CDS	gene	liaR	BV11031_RS00800	two-component system response regulator LiaR
NZ_CP026362.1	159288	160409	-	CDS	gene	BV11031_RS00805	BV11031_RS00805	Ger(x)C family spore germination protein
NZ_CP026362.1	160406	161503	-	CDS	gene	BV11031_RS00810	BV11031_RS00810	endospore germination permease
NZ_CP026362.1	161472	162920	-	CDS	gene	BV11031_RS00815	BV11031_RS00815	spore germination protein
NZ_CP026362.1	163039	163224	+	CDS	gene	BV11031_RS00820	BV11031_RS00820	YvzF family protein
NZ_CP026362.1	163292	164680	+	CDS	gene	fumC	BV11031_RS00825	class II fumarate hydratase
NZ_CP026362.1	164721	165596	-	CDS	gene	BV11031_RS00830	BV11031_RS00830	TetR/AcrR family transcriptional regulator
NZ_CP026362.1	165765	165929	+	CDS	gene	BV11031_RS00835	BV11031_RS00835	hypothetical protein
NZ_CP026362.1	165950	167311	-	CDS	gene	cssS	BV11031_RS00840	secretion stress-responsive two-component system sensor histidine kinase CssS
NZ_CP026362.1	167308	167985	-	CDS	gene	cssR	BV11031_RS00845	secretion stress-responsive two-component system response regulator CssR
NZ_CP026362.1	168263	169639	+	CDS	gene	BV11031_RS00850	BV11031_RS00850	trypsin-like peptidase domain-containing protein
NZ_CP026362.1	169682	170143	-	CDS	gene	mrgA	BV11031_RS00855	metalloregulation DNA-binding stress protein MgrA
NZ_CP026362.1	170233	171075	-	CDS	gene	BV11031_RS00860	BV11031_RS00860	SDR family oxidoreductase
NZ_CP026362.1	171208	173004	+	CDS	gene	BV11031_RS00865	BV11031_RS00865	M3 family oligoendopeptidase
NZ_CP026362.1	173109	173546	+	CDS	gene	BV11031_RS00870	BV11031_RS00870	YusW family protein
NZ_CP026362.1	173765	174592	+	CDS	gene	BV11031_RS00875	BV11031_RS00875	ABC transporter ATP-binding protein
NZ_CP026362.1	174623	174910	+	CDS	gene	BV11031_RS00880	BV11031_RS00880	YusU family protein
NZ_CP026362.1	174927	175814	-	CDS	gene	BV11031_RS00885	BV11031_RS00885	LysR family transcriptional regulator
NZ_CP026362.1	175951	176691	+	CDS	gene	BV11031_RS00890	BV11031_RS00890	SDR family NAD(P)-dependent oxidoreductase
NZ_CP026362.1	176710	177093	+	CDS	gene	BV11031_RS00895	BV11031_RS00895	tautomerase family protein
NZ_CP026362.1	177130	178746	-	CDS	gene	BV11031_RS00900	BV11031_RS00900	MFS transporter
NZ_CP026362.1	178748	179218	-	CDS	gene	BV11031_RS00905	BV11031_RS00905	MarR family transcriptional regulator
NZ_CP026362.1	179377	179709	-	CDS	gene	BV11031_RS00910	BV11031_RS00910	spore coat protein
NZ_CP026362.1	179722	179967	-	CDS	gene	BV11031_RS00915	BV11031_RS00915	hypothetical protein
NZ_CP026362.1	180062	180970	+	CDS	gene	BV11031_RS00920	BV11031_RS00920	proline dehydrogenase
NZ_CP026362.1	180995	181141	-	CDS	gene	BV11031_RS00925	BV11031_RS00925	YuzL family protein
NZ_CP026362.1	181314	183683	+	CDS	gene	BV11031_RS00930	BV11031_RS00930	enoyl-CoA hydratase/isomerase family protein
NZ_CP026362.1	183694	184869	+	CDS	gene	BV11031_RS00935	BV11031_RS00935	acetyl-CoA C-acetyltransferase
NZ_CP026362.1	184884	186668	+	CDS	gene	fadE	BV11031_RS00940	acyl-CoA dehydrogenase FadE
NZ_CP026362.1	186780	187136	+	CDS	gene	BV11031_RS00945	BV11031_RS00945	arsenate reductase family protein
NZ_CP026362.1	187203	187586	+	CDS	gene	gcvH	BV11031_RS00950	glycine cleavage system protein GcvH
NZ_CP026362.1	187642	187878	+	CDS	gene	BV11031_RS00955	BV11031_RS00955	YusG family protein
NZ_CP026362.1	187950	188312	+	CDS	gene	BV11031_RS00960	BV11031_RS00960	toprim domain-containing protein
NZ_CP026362.1	188314	188634	+	CDS	gene	BV11031_RS00965	BV11031_RS00965	thioredoxin family protein
NZ_CP026362.1	188742	189086	+	CDS	gene	BV11031_RS00970	BV11031_RS00970	SCP2 sterol-binding domain-containing protein
NZ_CP026362.1	189413	190438	+	CDS	gene	BV11031_RS00975	BV11031_RS00975	methionine ABC transporter ATP-binding protein
NZ_CP026362.1	190431	191099	+	CDS	gene	metP	BV11031_RS00980	methionine ABC transporter permease MetP
NZ_CP026362.1	191113	191937	+	CDS	gene	metQ	BV11031_RS00985	methionine ABC transporter substrate-binding lipoprotein MetQ
NZ_CP026362.1	192022	192399	+	CDS	gene	BV11031_RS00990	BV11031_RS00990	carboxymuconolactone decarboxylase family protein
NZ_CP026362.1	192592	192729	+	CDS	gene	BV11031_RS00995	BV11031_RS00995	hypothetical protein
NZ_CP026362.1	192923	193708	+	CDS	gene	sufC	BV11031_RS01005	Fe-S cluster assembly ATPase SufC
NZ_CP026362.1	193726	195039	+	CDS	gene	sufD	BV11031_RS01010	Fe-S cluster assembly protein SufD
NZ_CP026362.1	195039	196259	+	CDS	gene	sufS	BV11031_RS01015	cysteine desulfurase SufS
NZ_CP026362.1	196249	196692	+	CDS	gene	sufU	BV11031_RS01020	iron-sulfur cluster assembly scaffold protein SufU
NZ_CP026362.1	196713	198110	+	CDS	gene	sufB	BV11031_RS01025	Fe-S cluster assembly protein SufB
NZ_CP026362.1	198154	198504	-	CDS	gene	BV11031_RS01030	BV11031_RS01030	hypothetical protein
NZ_CP026362.1	198769	198978	-	CDS	pseudogene	BV11031_RS01035	BV11031_RS01035	hypothetical protein
NZ_CP026362.1	198978	199124	-	CDS	gene	BV11031_RS01040	BV11031_RS01040	hypothetical protein
NZ_CP026362.1	199283	200401	+	CDS	gene	BV11031_RS01045	BV11031_RS01045	FAD-binding oxidoreductase
NZ_CP026362.1	200502	200876	+	CDS	gene	BV11031_RS01050	BV11031_RS01050	nucleotide excision repair endonuclease
NZ_CP026362.1	201075	202061	+	CDS	gene	BV11031_RS01055	BV11031_RS01055	SIS domain-containing protein
NZ_CP026362.1	202142	203410	+	CDS	gene	BV11031_RS01060	BV11031_RS01060	carbohydrate ABC transporter substrate-binding protein
NZ_CP026362.1	203468	204346	+	CDS	gene	BV11031_RS01065	BV11031_RS01065	sugar ABC transporter permease
NZ_CP026362.1	204350	205252	+	CDS	gene	BV11031_RS01070	BV11031_RS01070	carbohydrate ABC transporter permease
NZ_CP026362.1	205268	206122	+	CDS	gene	BV11031_RS01075	BV11031_RS01075	fructoselysine 6-kinase
NZ_CP026362.1	206147	206875	-	CDS	gene	frlR	BV11031_RS01080	transcriptional regulator FrlR
NZ_CP026362.1	207056	208159	+	CDS	gene	ugpC	BV11031_RS01085	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC
NZ_CP026362.1	208192	209058	-	CDS	gene	BV11031_RS01090	BV11031_RS01090	endonuclease
NZ_CP026362.1	209413	210651	+	CDS	gene	allC	BV11031_RS01095	allantoate deiminase
NZ_CP026362.1	210669	211919	+	CDS	gene	pucG	BV11031_RS01100	(S)-ureidoglycine--glyoxylate transaminase
NZ_CP026362.1	212372	213064	+	CDS	gene	BV11031_RS01105	BV11031_RS01105	aspartate/glutamate racemase family protein
NZ_CP026362.1	213183	213344	-	CDS	gene	BV11031_RS01110	BV11031_RS01110	hydroxyisourate hydrolase
NZ_CP026362.1	213355	214950	-	CDS	gene	pucR	BV11031_RS01115	purine catabolism transcriptional regulator PucR
NZ_CP026362.1	215125	216465	+	CDS	gene	BV11031_RS01120	BV11031_RS01120	allantoinase
NZ_CP026362.1	216481	217749	-	CDS	gene	BV11031_RS01125	BV11031_RS01125	glycosyltransferase family 1 protein
NZ_CP026362.1	217859	218194	+	CDS	pseudogene	BV11031_RS01130	BV11031_RS01130	hypothetical protein
NZ_CP026362.1	218232	219080	+	CDS	gene	BV11031_RS01135	BV11031_RS01135	DUF72 domain-containing protein
NZ_CP026362.1	219098	219919	+	CDS	gene	BV11031_RS01140	BV11031_RS01140	sulfite exporter TauE/SafE family protein
NZ_CP026362.1	219939	221327	+	CDS	gene	BV11031_RS01145	BV11031_RS01145	bifunctional metallophosphatase/5'-nucleotidase
NZ_CP026362.1	221392	221697	+	CDS	gene	BV11031_RS01150	BV11031_RS01150	YunC family protein
NZ_CP026362.1	221769	222536	+	CDS	gene	yunB	BV11031_RS01155	sporulation protein YunB
NZ_CP026362.1	222565	223545	-	CDS	gene	BV11031_RS01160	BV11031_RS01160	L-Ala--D-Glu endopeptidase
NZ_CP026362.1	223781	224677	+	CDS	gene	lipA	BV11031_RS01165	lipoyl synthase
NZ_CP026362.1	224693	225328	-	CDS	pseudogene	BV11031_RS01170	BV11031_RS01170	hypothetical protein
NZ_CP026362.1	225442	225717	+	CDS	gene	BV11031_RS01175	BV11031_RS01175	YutD family protein
NZ_CP026362.1	225741	226175	+	CDS	gene	BV11031_RS01180	BV11031_RS01180	DUF86 domain-containing protein
NZ_CP026362.1	226204	226974	+	CDS	gene	nucF	BV11031_RS01185	5' nucleotidase NucF
NZ_CP026362.1	227001	227501	-	CDS	gene	BV11031_RS01190	BV11031_RS01190	phosphatidylglycerophosphatase A
NZ_CP026362.1	227654	228706	+	CDS	gene	cotNH	BV11031_RS01195	spore coat-associated protein CotNH
